duration,protocol_type,service,flag,src_bytes,dst_bytes,class
215,tcp,http,SF,184,0,normal
162,tcp,ftp,SF,2607,1977,normal
90,icmp,dns,SF,146,146,attack
171,udp,ssh,SF,146,146,normal
191,tcp,http,SF,697,528,normal
92,udp,dns,S0,146,0,normal
103,tcp,http,REJ,146,0,attack
82,tcp,ftp,S0,0,0,normal
183,tcp,ssh,REJ,105,0,attack
96,icmp,ftp,SF,111,25,attack
201,udp,http,S0,0,0,normal
121,icmp,ftp,RSTO,0,0,normal
136,tcp,ssh,REJ,146,0,attack
117,icmp,ssh,S0,0,0,normal
171,tcp,ftp,S0,0,0,normal
102,tcp,http,SF,485,289,normal
153,icmp,ftp,SF,146,146,attack
157,udp,http,S0,0,0,normal
112,icmp,dns,S0,0,0,normal
208,udp,ftp,SF,146,146,attack
131,tcp,ssh,SF,217,203,attack
82,tcp,ssh,REJ,0,0,normal
176,tcp,http,S0,0,0,normal
109,tcp,ftp,S0,0,0,normal
176,udp,http,SF,146,146,normal
141,tcp,http,S0,0,0,normal
98,icmp,ftp,RSTO,0,0,normal
160,udp,ftp,SF,146,146,attack
134,tcp,ssh,REJ,0,0,normal
105,tcp,http,S0,0,0,normal
194,tcp,ftp,SF,3232,1867,normal
98,icmp,ssh,RSTO,0,0,normal
162,tcp,http,REJ,0,0,normal
172,udp,ftp,SF,146,146,normal
134,icmp,ftp,SF,146,146,attack
173,tcp,http,SF,3621,1543,normal
125,udp,ssh,SF,146,146,attack
116,tcp,ftp,S0,0,0,normal
148,tcp,http,SF,244,257,normal
173,udp,http,S0,0,0,normal
136,tcp,ssh,SF,146,146,attack
169,icmp,ftp,SF,146,146,attack
153,tcp,http,SF,299,201,normal
170,tcp,http,S0,0,0,normal
99,tcp,ssh,REJ,0,0,normal
167,tcp,http,SF,586,315,normal
129,udp,ftp,SF,146,146,attack
175,icmp,ftp,SF,146,146,attack
124,udp,ssh,S0,0,0,normal
176,tcp,ftp,S0,0,0,normal
134,tcp,http,S0,0,0,normal
98,icmp,http,RSTO,0,0,normal
140,tcp,ftp,SF,303,304,normal
113,tcp,http,S0,0,0,normal
162,udp,http,S0,0,0,normal
111,tcp,ssh,SF,204,201,attack
139,tcp,ftp,S0,0,0,normal
173,icmp,http,S0,0,0,normal
128,udp,ftp,SF,146,146,attack
180,tcp,ssh,S0,0,0,normal
160,icmp,ftp,SF,146,146,attack
132,udp,http,S0,0,0,normal
104,tcp,ftp,S0,0,0,normal
95,tcp,http,SF,367,233,normal
187,udp,ftp,SF,146,146,attack
92,icmp,ftp,SF,146,146,attack
184,tcp,http,REJ,0,0,normal
132,udp,ssh,S0,0,0,normal
185,tcp,ftp,SF,2980,2243,normal
137,tcp,http,S0,0,0,normal
90,icmp,http,RSTO,0,0,normal
174,udp,http,S0,0,0,normal
148,icmp,ftp,S0,0,0,normal
95,udp,ssh,S0,0,0,normal
125,tcp,ftp,S0,0,0,normal
155,tcp,http,S0,0,0,normal
112,icmp,http,RSTO,0,0,normal
168,udp,ftp,SF,146,146,attack
145,tcp,http,S0,0,0,normal
99,tcp,ftp,SF,259,199,normal
127,icmp,ftp,S0,0,0,normal
176,udp,ssh,S0,0,0,normal
149,tcp,ftp,S0,0,0,normal
181,tcp,http,S0,0,0,normal
97,icmp,http,S0,0,0,normal
169,udp,ftp,SF,146,146,attack
146,tcp,http,SF,255,247,normal
91,icmp,ftp,S0,0,0,normal
180,udp,ssh,S0,0,0,normal
156,tcp,ftp,S0,0,0,normal
171,tcp,http,S0,0,0,normal
99,icmp,http,S0,0,0,normal
138,udp,ftp,SF,146,146,attack
150,tcp,http,S0,0,0,normal
183,tcp,ftp,SF,2327,1582,normal
